"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"750",-0.0778567039156536,0.116068965915698,0.257791498350096,-0.0412921940403137,-0.208709881792483,0.0603644370903507
"752",-0.0724298358713935,0.114841832457552,0.246325486362341,-0.0369305347592298,-0.175684754448127,0.0540689794133307
"754",-0.0673437400596316,0.113419521954398,0.234430901872191,-0.0334331136876414,-0.145738118632417,0.0487407696609602
"756",-0.0625984164803674,0.11180203440624,0.222107744879651,-0.0307999308255488,-0.118869974345344,0.0443798078332878
"758",-0.0581938651336003,0.109989369813075,0.209356015384716,-0.0290309861729535,-0.0950803215868826,0.0409860939303418
"760",-0.0541300860193317,0.107981528174907,0.196175713387395,-0.0281262797298409,-0.0743691603570403,0.0385596279521273
"762",-0.0506373697029386,0.105569030046834,0.182294587941313,-0.0288100517021469,-0.0595074437857733,0.0386399165768669
"764",-0.0474000777947494,0.103045828438785,0.168219225697673,-0.0295819331002054,-0.0461323436555175,0.0406700891072769
"766",-0.044304496836884,0.100512742311329,0.153854683666572,-0.0309562556129839,-0.0333659253486708,0.0420256118693022
"768",-0.0413105263169405,0.0979695761248106,0.139053482641592,-0.0331116129197232,-0.0218628533423791,0.0385417639139894
"770",-0.0384115299061567,0.0953670858754654,0.123742178694346,-0.0364383559084983,-0.0122250030849712,0.0264679886645007
"772",-0.0355747672006955,0.0927472932695695,0.108147164717051,-0.0406371518637592,-0.00386940079378689,0.00721585547428368
"774",-0.0327087262031856,0.0902789001379375,0.0926726187980971,-0.0449592552947795,0.00458173731702207,-0.0150390420472858
"776",-0.0297139094411185,0.088130673085865,0.0775681247896394,-0.0489420142630949,0.0130873888655398,-0.0373440384551035
"778",-0.0265633961810375,0.086373102279905,0.0628934606495918,-0.0524613582396724,0.0206237487383608,-0.0578923768038958
"780",-0.0232294485780799,0.0850132539310625,0.0485886898201161,-0.0555854458159202,0.0275587594521088,-0.073632090597532
"782",-0.01966559036087,0.0841124821434312,0.0348549433229794,-0.0577548083662443,0.036429744329375,-0.0781593743502075
"784",-0.015861002124871,0.0836572756712201,0.0216450129688287,-0.05901289407358,0.0467375226599383,-0.0721715289027532
"786",-0.0118499494290476,0.0835967359200327,0.00889772662009191,-0.0594393134925391,0.0573824934288555,-0.0591908723393068
"788",-0.00770119646651118,0.0838571998628114,-0.00335368659519518,-0.0591127904966263,0.0677593091893408,-0.0421756041880242
"790",-0.00353147690650795,0.0843139800511333,-0.0151065888123339,-0.0582667819112857,0.0771778122903363,-0.0252922573930381
"792",0.000560101866147528,0.0848461553222013,-0.0262777350303314,-0.0571259064283393,0.0860861814636196,-0.00831623556876323
"794",0.00455152612095106,0.0854469912802946,-0.0365517537012382,-0.0549668250401483,0.0952601659621036,0.00933516587655684
"796",0.0083651590521516,0.0860161153311149,-0.0459593767418118,-0.0518484136659143,0.103577153588174,0.0257698920181756
"798",0.0119580403315953,0.0864917714168152,-0.0546786606500923,-0.0481524403804683,0.110528183512054,0.0398410222160331
"800",0.0152665452349766,0.086738698269273,-0.0628745539162965,-0.0445144153813673,0.116184230767971,0.0513611870013895
"802",0.0182872828987584,0.0867954858020054,-0.0703097657192211,-0.0403988956016945,0.122385879528507,0.064702082489256
"804",0.0209805853012494,0.0865779351821588,-0.0770724609139776,-0.0357971590180954,0.127871097717168,0.0772461411429197
"806",0.0232885293543695,0.0860253717623209,-0.0831084071890494,-0.0307858981470695,0.132269756938487,0.0880917856029823
"808",0.0251852240803568,0.0850970158437365,-0.0884545598266873,-0.0256799572786665,0.134761276757043,0.0962108965828744
"810",0.0265814697380009,0.0837277979442715,-0.0931676172673846,-0.0206811850586731,0.135092910840806,0.101308350572574
"812",0.0273616737411468,0.081768103321601,-0.0973621156581344,-0.0161272418106179,0.133369738356341,0.104617838585785
"814",0.0274487912830697,0.0791365619032263,-0.100840977873374,-0.0114432193445232,0.129743831466051,0.106103030981544
"816",0.0266616266566915,0.0755988321558456,-0.103689615893784,-0.00731288004729978,0.122678370185374,0.103278743697053
"818",0.0248126882744605,0.0709739644986145,-0.105876938116181,-0.00433341505811465,0.112027907500753,0.0959342510443575
"820",0.0216735021851306,0.0651789984831872,-0.106784649874582,-0.00147639164405818,0.0983535556740402,0.0836001244928264
"822",0.0172413139465014,0.0582364306642053,-0.106094073928874,0.00171532396075301,0.082424898867477,0.0672819616656988
"824",0.0116121740659602,0.0502025774776292,-0.103788070756911,0.00505391756789489,0.0644728156014539,0.0473903876791936
"826",0.00511341826537841,0.0413864406217384,-0.0999720444323837,0.00839582748775402,0.0463986772346244,0.0274374447750941
"828",-0.00173863345667165,0.0322920343878504,-0.0948481792541411,0.0122676990669351,0.0295069531024194,0.00930622260324894
"830",-0.00837682886273082,0.0234771813239904,-0.0888179309427062,0.0170127486280173,0.0150754640928702,-0.00505314327135056
"832",-0.0142494477529905,0.015383182115083,-0.0827023467419814,0.021974645612042,0.00386122563870434,-0.0146900728425116
"834",-0.018931492316003,0.00836208237286447,-0.0770953258173173,0.0269155723502183,-0.00396185797370591,-0.0190251247674015
"836",-0.0222633206130978,0.00249249001954507,-0.0725559365618811,0.0309437350506475,-0.00907216434878585,-0.0184657027911112
"838",-0.0243462771270005,-0.00223866384647058,-0.0692012737814751,0.034148025422794,-0.0115497716964573,-0.0131938843507373
"840",-0.025466135567034,-0.0060525837571303,-0.0670489599790444,0.0366490647237326,-0.0120918060175583,-0.00418623518050139
"842",-0.0258905974307717,-0.00926253997411638,-0.0662256085946662,0.0376847880434768,-0.0126554837833402,0.00588999369352616
"844",-0.0259777500218568,-0.0121924525490308,-0.0665632533797499,0.0370724685386166,-0.0144240124369439,0.0152758988743143
"846",-0.0259890765951298,-0.0150850984535079,-0.067917054902703,0.0349193430550529,-0.0175645541964955,0.0227751311234982
"848",-0.0260425520051993,-0.018011738238898,-0.0699350904084947,0.0318416281252863,-0.0224965044316875,0.0273416034105446
"850",-0.0261889423394679,-0.0209753895816674,-0.0723042977111551,0.0282122900290662,-0.029474038200356,0.0278158418611825
"852",-0.0263979354021741,-0.0239878623979601,-0.074938458335053,0.0238990443872664,-0.0380646690868508,0.0249032954573749
"854",-0.0266448581026664,-0.0270070457656791,-0.0776434866651729,0.0193040508912134,-0.0475919595184397,0.0197491671386855
"856",-0.0268995200696584,-0.02998911292631,-0.0801523124867829,0.0147596515566841,-0.0570871061082538,0.0136743816885614
"858",-0.0271608414890677,-0.032870274450094,-0.082325905016981,0.0107346441723157,-0.0656050258210951,0.00774990626646203
"860",-0.0273848070923196,-0.0356895772249807,-0.0844207568997535,0.0067684866547395,-0.0732577245192563,0.00251593969582389
"862",-0.0275458741732974,-0.0384305470382727,-0.0863005661699387,0.00296361201917594,-0.0805868535377586,-0.0030379336016614
"864",-0.0276457907214528,-0.0411472502261043,-0.0879195138919078,-0.000641016993587738,-0.0877018985233273,-0.00927788658719418
"866",-0.0277074553112747,-0.0438902092671912,-0.0892785921217453,-0.00400248764671329,-0.0944800542945132,-0.0164481581510032
"868",-0.0277164991003954,-0.0466186259648197,-0.0902187920873714,-0.00689393903760953,-0.101091470570787,-0.0246154076284695
"870",-0.0276605266684608,-0.0493251137247436,-0.0905727120658228,-0.00906397975286306,-0.107967341688067,-0.0345159857673386
"872",-0.0275054583486861,-0.0519725142762825,-0.09023635505404,-0.0104154840466914,-0.114664839355045,-0.0447420157773453
"874",-0.0272036628261763,-0.0544977196808817,-0.0891695332560309,-0.0109163015279736,-0.120933867380204,-0.0550402218685574
"876",-0.0267206981556416,-0.0568879458940729,-0.0873717485486616,-0.0105229601099679,-0.126825814909742,-0.0664465973547398
"878",-0.0260301683710832,-0.0590821837083471,-0.0848383032306552,-0.00914497032281044,-0.131865829346397,-0.0780243037651796
"880",-0.0250574703099372,-0.0609998064935662,-0.0815943442420305,-0.00679789232723803,-0.136136022080714,-0.0898189549130623
"882",-0.0237029915932027,-0.062515479034386,-0.0774855497984982,-0.00316634024248548,-0.138836897914788,-0.100886090249693
"884",-0.0219256087315728,-0.0635651045419841,-0.072473349571167,0.00196372478838139,-0.138917004408743,-0.109838102377402
"886",-0.0196889328874784,-0.0641017808059366,-0.0665647500616158,0.00865002191847562,-0.136075843664255,-0.11657216292414
"888",-0.0169935390103111,-0.0641138718801541,-0.0597695669071565,0.0169800719783545,-0.130391688168927,-0.121475971877072
"890",-0.0138269434781254,-0.0636085169805311,-0.0521666940860174,0.0268292201493989,-0.121770207853579,-0.123601426838087
"892",-0.0102301365667471,-0.0625736833005875,-0.0437946691447667,0.0381437361641532,-0.109558410395566,-0.121468762132164
"894",-0.00630092742893466,-0.0610841683755267,-0.0348094516749481,0.0505945635762558,-0.0939964192104194,-0.115328311344273
"896",-0.00219944391520464,-0.0592851763133621,-0.0253855136922184,0.0640030245787408,-0.0760083307687712,-0.106936449823304
"898",0.00189866441869705,-0.0573133639505557,-0.0156846322922755,0.0779304355364624,-0.0568949270893854,-0.0974522577826725
"900",0.00580066679633337,-0.0552979546585195,-0.00576332683647065,0.0922403754852247,-0.0370575822277337,-0.0868866558924339
"902",0.00927997705963967,-0.0534109995017971,0.00433431069828573,0.106822044952997,-0.0166896556708955,-0.0749251075520806
"904",0.0120459203214076,-0.0519206656725552,0.0144026190389486,0.120979488078946,0.00314418557907359,-0.0630726180647157
"906",0.0138707817451036,-0.0510578550521962,0.0242069513272409,0.133911442914203,0.0216182009718497,-0.0521009927952662
"908",0.0144823056761224,-0.0510606199490298,0.0335171468328575,0.144889990250663,0.0377997931064488,-0.0430697954686135
"910",0.0136518689131688,-0.052114108744944,0.0421878101204857,0.153245042847756,0.0516690159722706,-0.0353205479087276
"912",0.0111577091731679,-0.0543622849645607,0.0501599987813943,0.158498231018696,0.0630917964455794,-0.0295626203193328
"914",0.00683559221801549,-0.0578794815641805,0.0574258608734629,0.16042213692687,0.0722360846434162,-0.0259205029662427
"916",0.00060610722466486,-0.0626815835063026,0.063901602759759,0.158747881226911,0.0782080563357499,-0.0264291821668664
"918",-0.00753225243761472,-0.0687168805309834,0.0696746678008432,0.153438110164376,0.0812209157672382,-0.0316131213042002
"920",-0.01749342120856,-0.0758368066068114,0.0747702169911681,0.144703326956093,0.0822092231720545,-0.039683129409538
"922",-0.0290681450677803,-0.0837578668953813,0.0793422001490831,0.133188518811783,0.0825685404684531,-0.0485705838201929
"924",-0.0419311784874708,-0.0921935909028129,0.0832588057238161,0.118979297087737,0.0829598242431272,-0.0572380895683558
"926",-0.0556667922566988,-0.100745820245138,0.0863854023561778,0.102437894088311,0.0845047443413113,-0.0638885768662336
"928",-0.0698543893912819,-0.109044907317659,0.0885164373079302,0.0839673313545291,0.0876940392340686,-0.0672253937166274
"930",-0.084075364921369,-0.116729982677617,0.0895346748246113,0.0641730159772375,0.0935800504968863,-0.0648161236520274
"932",-0.0979602009192206,-0.123482544444046,0.0891288370532519,0.0432401960600453,0.101707198427587,-0.0571220154295492
"934",-0.11123762803041,-0.129021754991199,0.0869900739358861,0.0213198972815817,0.111375793892632,-0.0439146634864785
"936",-0.123772230727872,-0.133147329135217,0.0827511211042184,-0.00156344644327407,0.120588562398571,-0.0279678673663142
"938",-0.135525649379921,-0.135660243053361,0.076277146899049,-0.0249612303470751,0.128203724728891,-0.0103495583125489
"940",-0.146532139327262,-0.136343114370393,0.0672883791582191,-0.0485852068120227,0.132070016574677,0.00684594408000156
"942",-0.156791477625777,-0.134861858986983,0.0559284883132401,-0.0712899736595967,0.131344725045142,0.0228088104363207
"944",-0.166158120019951,-0.130869183346122,0.042212253879096,-0.0922075308224558,0.124244745643046,0.035862916277065
"946",-0.17433215083444,-0.123952217613205,0.0264507152831044,-0.10994440525848,0.110169578949177,0.0442976205200856
"948",-0.180823326906373,-0.113780962800898,0.00943696535493662,-0.122503188125632,0.0900828933692137,0.049489747710567
"950",-0.185012091763683,-0.100186529059952,-0.00773416139615215,-0.128000898121541,0.0662322519570839,0.0535924025838209
"952",-0.186302710229835,-0.0833116650238996,-0.0238816355585751,-0.125205174726036,0.0406386308026684,0.056708921522904
"954",-0.184269436181829,-0.0636491371160833,-0.0376934004911038,-0.11350346321257,0.0161137796194342,0.060377249708193
"956",-0.178770421066933,-0.0420694368363409,-0.0482773810419871,-0.0935516752187019,-0.00538751343582006,0.0641039407595803
"958",-0.170020162932346,-0.019623940164805,-0.0551057998693977,-0.0668093610114934,-0.0223283497865079,0.0675081865395219
"960",-0.158529849337031,0.00261277365124207,-0.0581173714045416,-0.035469890136599,-0.0339033736148857,0.0702243767706258
"962",-0.14503748428721,0.0236958527655943,-0.0577241904069208,-0.00210115334381348,-0.0403455170467305,0.0717027107393175
"964",-0.130302873610427,0.0430119076642486,-0.0547815409359405,0.0308032396860662,-0.0428033639424563,0.0704409052100727
"966",-0.115041883530486,0.0601999627868605,-0.0503626076441597,0.0611267549039644,-0.0427271696097884,0.0654675438502438
"968",-0.0998220955829689,0.0751968631538362,-0.0451818380701432,0.0877909694800311,-0.0407759166094194,0.0588381323321031
"970",-0.0850275342415673,0.0880759360585321,-0.0399371024921725,0.110020706780312,-0.0379010719232988,0.0512093662017855
"972",-0.0708778480677021,0.0990379917021201,-0.0349316488868192,0.127853141133856,-0.0339497811546841,0.0438324179488692
"974",-0.0575148048344564,0.108119064915585,-0.0306250621916855,0.140829136453826,-0.0302312007102193,0.0356653095307225
"976",-0.0450357769626484,0.115312180123456,-0.0271577781812399,0.148858265506283,-0.0271871678538205,0.0270264634730603
"978",-0.0334829256186277,0.120649071163297,-0.0246501158634802,0.151938944440792,-0.0248519128537592,0.0176148983388165
"980",-0.0229034988457766,0.124144276529473,-0.0229479516937917,0.150318135619862,-0.0231123842637268,0.0083549848360397
"982",-0.013320403130168,0.12580238441843,-0.0221446690774494,0.144000597544106,-0.0222775923929603,-0.00126049464752993
"984",-0.00471641364249866,0.125796357547855,-0.0220032941779354,0.133620346296731,-0.0220812496471037,-0.0119618260601045
"986",0.00296960221209074,0.124202841698845,-0.0226413286277072,0.11934299128401,-0.0226240790679705,-0.0237866076412429
"988",0.00977767831979495,0.121237986874519,-0.023610380143649,0.102254892655168,-0.0233628338171097,-0.0350744267338548
"990",0.0158365932554737,0.117103296735126,-0.0248316157883162,0.0829215948635936,-0.0236550239676646,-0.0451777273839742
"992",0.0212320259349805,0.112026369376521,-0.0259136352592626,0.0624929672983738,-0.0228347163276901,-0.0532219295470303
"994",0.0260871426428541,0.106116817747181,-0.0270449501203787,0.0410234979982305,-0.0217310288811959,-0.0604714909045153
"996",0.0304494045844675,0.0995310270817348,-0.0278766365010964,0.0194631433647901,-0.0202791379046658,-0.0667085963235402
"998",0.0344393626118231,0.0924446669653073,-0.0284430400520639,-0.00189393933494223,-0.0182220777490051,-0.0718166699705288
"1000",0.0380565931302955,0.0849604460930068,-0.0284226205462525,-0.0222778988359592,-0.0157548773285422,-0.0756193512858566
"1002",0.041389469565074,0.0771891311152711,-0.0279423115434008,-0.0416456463884407,-0.0128833414199943,-0.0783148613629274
"1004",0.0444876743518941,0.0692391677152613,-0.026884183297695,-0.0596828914823964,-0.0100376523043396,-0.0811595572377513
"1006",0.047430229798183,0.0611545985812622,-0.0254275129828506,-0.0763714721465715,-0.00734252748173003,-0.0842092939166852
"1008",0.0502608030228708,0.0530532655874886,-0.0233581205780831,-0.0911868836542902,-0.00461059327539799,-0.086922081887649
"1010",0.0530631680730101,0.0449978129685086,-0.0208933892405561,-0.10435924964528,-0.00173758208540662,-0.0898920031657144
"1012",0.0558560997777462,0.0370761697278838,-0.0178488804730219,-0.115291276198924,0.00151398614259086,-0.0923238681172085
"1014",0.0587228619689158,0.0293653004370951,-0.0144306850441756,-0.124160433800916,0.00500287338404305,-0.0944370822231449
"1016",0.0616557566936778,0.0219094235974531,-0.0106016591366765,-0.130739462443434,0.00819857411260834,-0.097040858880837
"1018",0.06468571129844,0.0147635094881073,-0.00648443222565818,-0.135158388159516,0.0114184679266762,-0.0994323608176957
"1020",0.0677685306326181,0.0079516140180654,-0.00202716556295004,-0.137255526635093,0.0142675260889194,-0.101944620269363
"1022",0.0709582216695889,0.00156507298623295,0.00256697528787048,-0.137323460524191,0.0170743689757515,-0.103790352238817
"1024",0.0742134146446259,-0.00441950543200335,0.00732013839740574,-0.135340022308775,0.0194022661998478,-0.105569685591602
"1026",0.0775469872026634,-0.00994154963039418,0.0121561866165856,-0.131401920896534,0.0215378398064466,-0.10625093362878
"1028",0.0809771104487593,-0.0149761177552692,0.0169901376641798,-0.125774375564845,0.0235489157443735,-0.105547491619901
"1030",0.084523392520307,-0.0194829209114568,0.021690144092391,-0.118723449094683,0.0254130713040873,-0.104030960936586
"1032",0.0881419871994894,-0.0234805892063944,0.0264156692865973,-0.109944650647693,0.0271119627642736,-0.101171487648832
"1034",0.0918416970885326,-0.0269604747924679,0.0311359974151698,-0.0996155638119849,0.0282663997863087,-0.098012668533227
"1036",0.0956407705177566,-0.0299159127034777,0.0356448091135743,-0.0880900291315796,0.029194354883253,-0.094067288680722
"1038",0.0995016160222108,-0.0323631502594118,0.0399761422878771,-0.0753683440394455,0.0302595394357428,-0.0885986753755578
"1040",0.10338081547126,-0.0343496032731073,0.0439576731493885,-0.061822739603514,0.0312610650682402,-0.0821552468782297
"1042",0.107235520121277,-0.0359166273267815,0.0475221998729913,-0.0477150558568344,0.0325648058570745,-0.0740687590315226
"1044",0.110966040503186,-0.0371844935574592,0.0506904578822206,-0.0333145404418131,0.034018020000274,-0.0646680839535579
"1046",0.114519204007909,-0.038188398010406,0.0534971347966756,-0.0187956717844491,0.0360516402780829,-0.0530224224953833
"1048",0.117845495174259,-0.0390137649718798,0.0558549995232476,-0.00458547218234913,0.0384404554585211,-0.0394604948812165
"1050",0.12085407714864,-0.0397480984115504,0.0577598416765108,0.00905288655883728,0.0408634701682457,-0.0245910701927768
"1052",0.12343124319722,-0.0405165359618681,0.0592230494089313,0.0218591279014835,0.0424593695169041,-0.00964092536677745
"1054",0.125539991278791,-0.0413556531671917,0.0602291982649287,0.0335036419167162,0.043417117776558,0.00530278559128948
"1056",0.127151527617458,-0.0423263305491497,0.0605865080868582,0.0434908163630576,0.0439457656644638,0.0210680311805354
"1058",0.128212646332337,-0.043463874364321,0.0604194362256698,0.0518749061235547,0.0438680059813257,0.0376260569239
"1060",0.128692937693901,-0.044816565793729,0.059604809930487,0.0583550948045363,0.0430227168424439,0.0545655817501574
"1062",0.128555877434775,-0.0464485492771421,0.0581437459445508,0.0628487822629342,0.0413718405361192,0.0718797216614005
"1064",0.127790383121373,-0.0484021371842006,0.0560313448685749,0.0651297496872116,0.0379480575689712,0.087965013149855
"1066",0.126428443683852,-0.0506573127112488,0.0533636083722713,0.0652692782167146,0.0324135099701037,0.101632090544632
"1068",0.124476990711164,-0.0532366679403559,0.0501380872697426,0.0633066991088748,0.0247292783081811,0.112515116208187
"1070",0.121949351466811,-0.0561165585381839,0.0465586928703983,0.0596103521206084,0.0152545916064163,0.120669180432061
"1072",0.11889335967264,-0.0592692652534569,0.0423940300294017,0.0538168045512657,0.00354787669681363,0.125015546288327
"1074",0.115348953590587,-0.0626404816078853,0.0377297215870733,0.0460874853154405,-0.00939865865259006,0.1271134593733
"1076",0.111321437764088,-0.0662227460786687,0.032762464366822,0.0366095307457987,-0.0232565773990981,0.127835322081999
"1078",0.106904286170083,-0.0698971222193615,0.0275422529207481,0.0256238649146004,-0.0371021547034726,0.128491228018427
"1080",0.102169890201601,-0.0735722440919379,0.0220776698964883,0.0133372958350334,-0.0501827422775414,0.130096868100561
"1082",0.097141307975684,-0.0772481864149827,0.0164156369540315,-0.00018164064460871,-0.0627947488448396,0.132388468811956
"1084",0.0918581667911337,-0.0808972912940147,0.0107378877494855,-0.0146585099148805,-0.0752731564891643,0.135221753927122
"1086",0.0863847091770795,-0.0844058141297817,0.00535759056131418,-0.0294711453914429,-0.0871321785553222,0.138896105304807
"1088",0.0808028979430978,-0.0876529373929461,0.00047350337056734,-0.0439432596843024,-0.097181545323045,0.145920242471256
"1090",0.0757177379346083,-0.0903434301157227,-0.00567679051508595,-0.0603117575826069,-0.107760253980194,0.154909285753468
"1092",0.0707300319534919,-0.0927097667832538,-0.0121437004195576,-0.0775220531327935,-0.117894409529076,0.165843028069112
"1094",0.0658397799997488,-0.0947519473955387,-0.018927226342849,-0.0955741463348627,-0.127584011969699,0.178721469418162
"1096",0.0610469820733788,-0.0964699719525777,-0.0260273682849599,-0.114468037188816,-0.136829061302063,0.193544609800627
"1098",0.056351638174382,-0.0978638404543705,-0.033444126245889,-0.134203725694648,-0.145629557526154,0.210312449216529
